17-05-2015,Colón,  San Martín (SJ)
17-05-2015,Atlético de Rafaela,  Estudiantes
17-05-2015,Temperley,  Huracán
17-05-2015,Olimpo ,  Nueva Chicago
17-05-2015,Rosario Central,  Lanús
17-05-2015,Tigre,  River Plate
17-05-2015,Racing,  Independiente
17-05-2015,Boca Juniors,  Aldosivi
17-05-2015,Banfield,  Vélez Sarsfield
17-05-2015,Argentinos Juniors,  Newell's Old Boys
17-05-2015,San Lorenzo,  Sarmiento
17-05-2015,Gimnasia y Esgrima (LP),  Quilmes
17-05-2015,Godoy Cruz,  Belgrano
17-05-2015,Arsenal,  Unión
24-05-2015,Arsenal,  Crucero del Norte
24-05-2015,Unión,  Godoy Cruz
24-05-2015,Belgrano,  Gimnasia y Esgrima (LP)
24-05-2015,Quilmes,  San Lorenzo
24-05-2015,Sarmiento,  Argentinos Juniors
24-05-2015,Newell's Old Boys,  Banfield
24-05-2015,Vélez Sarsfield,  Boca Juniors
24-05-2015,Aldosivi,  Racing
24-05-2015,Independiente,  Tigre
24-05-2015,River Plate,  Rosario Central
24-05-2015,Lanús,  Olimpo 
24-05-2015,Nueva Chicago,  Temperley
24-05-2015,Huracán,  Atlético de Rafaela
24-05-2015,Estudiantes,  Colón
24-05-2015,San Martín (SJ),  Defensa y Justicia
31-05-2015,Crucero del Norte,  San Martín (SJ)
31-05-2015,Defensa y Justicia,  Estudiantes
31-05-2015,Colón,  Huracán
31-05-2015,Atlético de Rafaela,  Nueva Chicago
31-05-2015,Temperley,  Lanús
31-05-2015,Olimpo ,  River Plate
31-05-2015,Rosario Central,  Independiente
31-05-2015,Tigre,  Aldosivi
31-05-2015,Racing,  Vélez Sarsfield
31-05-2015,Boca Juniors,  Newell's Old Boys
31-05-2015,Banfield,  Sarmiento
31-05-2015,Argentinos Juniors,  Quilmes
31-05-2015,San Lorenzo,  Belgrano
31-05-2015,Gimnasia y Esgrima (LP),  Unión
31-05-2015,Godoy Cruz,  Arsenal
07-06-2015,Godoy Cruz,  Crucero del Norte
07-06-2015,Arsenal,  Gimnasia y Esgrima (LP)
07-06-2015,Unión,  San Lorenzo
07-06-2015,Belgrano,  Argentinos Juniors
07-06-2015,Quilmes,  Banfield
07-06-2015,Sarmiento,  Boca Juniors
07-06-2015,Newell's Old Boys,  Racing
07-06-2015,Vélez Sarsfield,  Tigre
07-06-2015,Aldosivi,  Rosario Central
07-06-2015,Independiente,  Olimpo 
07-06-2015,River Plate,  Temperley
07-06-2015,Lanús,  Atlético de Rafaela
07-06-2015,Nueva Chicago,  Colón
07-06-2015,Huracán,  Defensa y Justicia
07-06-2015,Estudiantes,  San Martín (SJ)
12-07-2015,Crucero del Norte,  Estudiantes
12-07-2015,San Martín (SJ),  Huracán
12-07-2015,Defensa y Justicia,  Nueva Chicago
12-07-2015,Colón,  Lanús
12-07-2015,Atlético de Rafaela,  River Plate
12-07-2015,Temperley,  Independiente
12-07-2015,Olimpo ,  Aldosivi
12-07-2015,Rosario Central,  Vélez Sarsfield
12-07-2015,Tigre,  Newell's Old Boys
12-07-2015,Racing,  Sarmiento
12-07-2015,Boca Juniors,  Quilmes
12-07-2015,Banfield,  Belgrano
12-07-2015,Argentinos Juniors,  Unión
12-07-2015,San Lorenzo,  Arsenal
12-07-2015,Gimnasia y Esgrima (LP),  Godoy Cruz
19-07-2015,Gimnasia y Esgrima (LP),  Crucero del Norte
19-07-2015,Godoy Cruz,  San Lorenzo
19-07-2015,Arsenal,  Argentinos Juniors
19-07-2015,Unión,  Banfield
19-07-2015,Belgrano,  Boca Juniors
19-07-2015,Quilmes,  Racing
19-07-2015,Sarmiento,  Tigre
19-07-2015,Newell's Old Boys,  Rosario Central
19-07-2015,Vélez Sarsfield,  Olimpo 
19-07-2015,Aldosivi,  Temperley
19-07-2015,Independiente,  Atlético de Rafaela
19-07-2015,River Plate,  Colón
19-07-2015,Lanús,  Defensa y Justicia
19-07-2015,Nueva Chicago,  San Martín (SJ)
19-07-2015,Huracán,  Estudiantes
26-07-2015,Crucero del Norte,  Huracán
26-07-2015,Estudiantes,  Nueva Chicago
26-07-2015,San Martín (SJ),  Lanús
26-07-2015,Defensa y Justicia,  River Plate
26-07-2015,Colón,  Independiente
26-07-2015,Atlético de Rafaela,  Aldosivi
26-07-2015,Temperley,  Vélez Sarsfield
26-07-2015,Olimpo ,  Newell's Old Boys
26-07-2015,Rosario Central,  Sarmiento
26-07-2015,Tigre,  Quilmes
26-07-2015,Racing,  Belgrano
26-07-2015,Boca Juniors,  Unión
26-07-2015,Banfield,  Arsenal
26-07-2015,Argentinos Juniors,  Godoy Cruz
26-07-2015,San Lorenzo,  Gimnasia y Esgrima (LP)
02-08-2015,San Lorenzo,  Crucero del Norte
02-08-2015,Gimnasia y Esgrima (LP),  Argentinos Juniors
02-08-2015,Godoy Cruz,  Banfield
02-08-2015,Arsenal,  Boca Juniors
02-08-2015,Unión,  Racing
02-08-2015,Belgrano,  Tigre
02-08-2015,Quilmes,  Rosario Central
02-08-2015,Sarmiento,  Olimpo 
02-08-2015,Newell's Old Boys,  Temperley
02-08-2015,Vélez Sarsfield,  Atlético de Rafaela
